B06009_001E,B06009_005E,state,year,state_code,state_abbr
3225447,476016,01,2013,01,AL
1960503,262755,05,2013,05,AR
13726996,2409162,12,2013,12,FL
6472172,1149847,13,2013,13,GA
2953653,392610,21,2013,21,KY
3034973,453347,22,2013,22,LA
1931054,248488,28,2013,28,MS
6568110,1211484,37,2013,37,NC
3198816,529944,45,2013,45,SC
4370035,681475,47,2013,47,TN
5561224,1172309,51,2013,51,VA
1294025,146732,54,2013,54,WV
3256766,478058,01,2014,01,AL
1968414,272411,05,2014,05,AR
14041196,2448663,12,2014,12,FL
6576408,1199733,13,2014,13,GA
2967181,386963,21,2014,21,KY
3060688,463860,22,2014,22,LA
1950710,254250,28,2014,28,MS
6661937,1239857,37,2014,37,NC
3260929,543917,45,2014,45,SC
4425073,717801,47,2014,47,TN
5623295,1173872,51,2014,51,VA
1296350,152434,54,2014,54,WV
3282252,504626,01,2015,01,AL
1987819,278975,05,2015,05,AR
14394281,2620339,12,2015,12,FL
6683767,1244449,13,2015,13,GA
2988790,406865,21,2015,21,KY
3095255,470739,22,2015,22,LA
1952337,253036,28,2015,28,MS
6762644,1277412,37,2015,37,NC
3319832,575843,45,2015,45,SC
4473487,719980,47,2015,47,TN
5685318,1209217,51,2015,51,VA
1300347,152256,54,2015,54,WV
3300713,506680,01,2016,01,AL
1990448,282608,05,2016,05,AR
14703671,2675907,12,2016,12,FL
6785395,1270275,13,2016,13,GA
2995509,419081,21,2016,21,KY
3115020,473299,22,2016,22,LA
1957022,264865,28,2016,28,MS
6877185,1345615,37,2016,37,NC
3388476,591086,45,2016,45,SC
4527198,756055,47,2016,47,TN
5721173,1241751,51,2016,51,VA
1291757,162243,54,2016,54,WV
3309607,528019,01,2017,01,AL
2008398,301294,05,2017,05,AR
15020177,2839500,12,2017,12,FL
6896026,1311611,13,2017,13,GA
3018953,423916,21,2017,21,KY
3120277,482439,22,2017,22,LA
1959341,265220,28,2017,28,MS
6991185,1406739,37,2017,37,NC
3443851,607024,45,2017,45,SC
4588453,790840,47,2017,47,TN
5779221,1270190,51,2017,51,VA
1279350,156378,54,2017,54,WV
3337464,536086,01,2018,01,AL
2021939,296422,05,2018,05,AR
15302125,2920459,12,2018,12,FL
6978172,1362317,13,2018,13,GA
3039414,442090,21,2018,21,KY
3125733,496634,22,2018,22,LA
1977283,284701,28,2018,28,MS
7102144,1454678,37,2018,37,NC
3492355,627144,45,2018,45,SC
4640823,801616,47,2018,47,TN
5822007,1296041,51,2018,51,VA
1280781,163614,54,2018,54,WV
3360058,547975,01,2019,01,AL
2036456,307185,05,2019,05,AR
15484502,2982643,12,2019,12,FL
7080222,1410395,13,2019,13,GA
3048442,453040,21,2019,21,KY
3140201,503947,22,2019,22,LA
1979664,270712,28,2019,28,MS
7187077,1471420,37,2019,37,NC
3563204,656496,45,2019,45,SC
4693962,845100,47,2019,47,TN
5872757,1312800,51,2019,51,VA
1281086,161686,54,2019,54,WV
3451208,572276,01,2021,01,AL
2037763,324137,05,2021,05,AR
15762122,3248221,12,2021,12,FL
7234271,1514014,13,2021,13,GA
3077867,488546,21,2021,21,KY
3117186,523475,22,2021,22,LA
1968167,303656,28,2021,28,MS
7245632,1573681,37,2021,37,NC
3598398,704740,45,2021,45,SC
4814533,924404,47,2021,47,TN
5942672,1394875,51,2021,51,VA
1265439,179376,54,2021,54,WV
3474924,609316,01,2022,01,AL
2057624,323961,05,2022,05,AR
16104410,3445343,12,2022,12,FL
7332980,1519625,13,2022,13,GA
3091499,508620,21,2022,21,KY
3096121,525044,22,2022,22,LA
1963322,297480,28,2022,28,MS
7372120,1678483,37,2022,37,NC
3664922,725469,45,2022,45,SC
4868110,958365,47,2022,47,TN
5978782,1409942,51,2022,51,VA
1262566,188793,54,2022,54,WV
3498967,616025,01,2023,01,AL
2078254,345836,05,2023,05,AR
16421870,3550180,12,2023,12,FL
7448119,1585916,13,2023,13,GA
3107275,506856,21,2023,21,KY
3102893,525591,22,2023,22,LA
1980147,307215,28,2023,28,MS
7487552,1718641,37,2023,37,NC
3745394,765869,45,2023,45,SC
4931967,952495,47,2023,47,TN
6037339,1446760,51,2023,51,VA
1259219,182741,54,2023,54,WV
